wavelength_center_nm,trans_total,trans_h2o,trans_co2
4130.0,0.999998281753,0.999999424079,0.999998857673
4150.0,0.999998088167,0.999999157398,0.999998930769
4170.0,0.999991132643,0.999999267466,0.999991865162
4190.0,0.974608090808,0.999999277871,0.974608784133
4210.0,0.641865333628,0.999998320115,0.641866512412
4230.0,0.347867282293,0.999998705392,0.347867808134
4250.0,0.491166887731,0.999996150429,0.491168903679
4270.0,0.479115883959,0.999995377295,0.479118380927
4290.0,0.484278301420,0.999992516536,0.484281008340
4310.0,0.605934661970,0.999985611805,0.605944227708
4330.0,0.812186189864,0.999983604767,0.812200445433
4350.0,0.944596931046,0.999978979484,0.944616790392
4370.0,0.989389096001,0.999964712588,0.989423996563
4390.0,0.998223842660,0.999944091693,0.998279690267
4410.0,0.999740645232,0.999976378662,0.999764261670
4430.0,0.999864987801,0.999891786203,0.999973199725
4450.0,0.999917046130,0.999921504496,0.999995541280
4470.0,0.999956634330,0.999959780626,0.999996853567
4490.0,0.999936980823,0.999938106874,0.999998873890
4510.0,0.999931361111,0.999933418446,0.999997942556
4530.0,0.999777150274,0.999779335145,0.999997814652
4550.0,0.999923357507,0.999924764808,0.999998592641
4570.0,0.999825144060,0.999825704721,0.999999439242
4590.0,0.999913712481,0.999913999114,0.999999713344
4610.0,0.999927360773,0.999928007332,0.999999353415
4630.0,0.999493423956,0.999494022038,0.999999401736
4650.0,0.999679626797,0.999680288756,0.999999337822
4670.0,0.999151438933,0.999152334103,0.999999104022
4690.0,0.999014564822,0.999027569134,0.999986993450
4710.0,0.999743717798,0.999749016917,0.999994699231
4730.0,0.998667845851,0.998679329499,0.999988489166
4750.0,0.999780444705,0.999791706732,0.999988735452
4770.0,0.999516194127,0.999544333132,0.999971853640
4790.0,0.996032294966,0.996050854674,0.999981351064
4810.0,0.999186927313,0.999450185044,0.999736630228
4830.0,0.999040271357,0.999102480414,0.999937761678
4850.0,0.989701152186,0.989838995184,0.999861378917
4870.0,0.999857207462,0.999963458730,0.999893745233
4890.0,0.990890475926,0.990944822691,0.999945189314
4910.0,0.999191307404,0.999203708864,0.999987591463
4930.0,0.998926042708,0.998928416844,0.999997624227
4950.0,0.977619056933,0.977619321389,0.999999733810
4970.0,0.998731692856,0.998731734872,0.999999957932
4990.0,0.998521176611,0.998521284706,0.999999891854
5010.0,0.984953618287,0.984953670459,0.999999947257
5030.0,0.966111295423,0.966111425650,0.999999860706
5050.0,0.999807894785,0.999808264797,0.999999629927
5070.0,0.999162789901,0.999163753168,0.999999035703
5090.0,0.965250345175,0.965251938829,0.999998388231
5110.0,0.993410047605,0.993411844196,0.999998199284
5130.0,0.990389786940,0.990390390121,0.999999395243
5150.0,0.934355279373,0.934355817916,0.999999422605
5170.0,0.996960348855,0.996985433358,0.999974648586
5190.0,0.974439329178,0.974444418520,0.999993947611
5210.0,0.904110815654,0.904125540308,0.999984052712
5230.0,0.970783869632,0.970803821478,0.999979759031
5250.0,0.979525967522,0.979540009399,0.999985197952
5270.0,0.970247597773,0.970254465552,0.999993056461
5290.0,0.933807561059,0.933809838047,0.999997661185
5310.0,0.989639367070,0.989640137709,0.999999215107
5330.0,0.997008889592,0.997009147692,0.999999741359
5350.0,0.816821786871,0.816822008501,0.999999665290
5370.0,0.990046973125,0.990047371448,0.999999598481
5390.0,0.991331936438,0.991332292594,0.999999639074
5410.0,0.939432569435,0.939432755561,0.999999806346
5430.0,0.846485504644,0.846485555832,0.999999937717
5450.0,0.962007286603,0.962007308159,0.999999977786
5470.0,0.760480633485,0.760480641161,0.999999989405
5490.0,0.978111375073,0.978111383970,0.999999990895
5510.0,0.965482605353,0.965482611197,0.999999993858
5530.0,0.911541724988,0.911541728035,0.999999996509
5550.0,0.848252607962,0.848252609375,0.999999998488
5570.0,0.801311277094,0.801311279082,0.999999997735
5590.0,0.900953233126,0.900953233332,0.999999999773
5610.0,0.865351001198,0.865351001287,0.999999999896
5630.0,0.879444169356,0.879444169467,0.999999999874
5650.0,0.651552447364,0.651552447528,0.999999999792
5670.0,0.859959532536,0.859959532716,0.999999999776
5690.0,0.879767301631,0.879767301798,0.999999999819
